date,tic,open,high,low,close,volume,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma
2023-01-03,AAPL,128.22379338136977,128.8340031338152,122.21022673136561,123.09602355957031,112117500.0,0.0,125.52638195624357,121.9353032244205,50.0,0.0,0.0,123.09602355957031,123.09602355957031
2023-01-03,JPM,125.03966965650287,126.4265337267963,123.79148635007445,124.9287109375,11054800.0,0.0,125.52638195624357,121.9353032244205,50.0,0.0,0.0,124.9287109375,124.9287109375
2023-01-03,KO,57.67991459232187,57.67991459232187,56.4275807026683,57.126346588134766,12180500.0,0.0,125.52638195624357,121.9353032244205,50.0,0.0,0.0,57.126346588134766,57.126346588134766
2023-01-03,MSFT,236.86330844238375,239.46502226115788,231.32856489611547,233.45281982421875,25740000.0,0.0,125.52638195624357,121.9353032244205,50.0,0.0,0.0,233.45281982421875,233.45281982421875
2023-01-03,XOM,98.36415923053409,98.57920011547957,94.52026837749784,95.4342041015625,15146200.0,0.0,125.52638195624357,121.9353032244205,50.0,0.0,0.0,95.4342041015625,95.4342041015625
2023-01-04,AAPL,124.88729543343348,126.62936374107429,123.10586505340991,124.36566162109375,89113600.0,0.02848546932904128,125.52638195624357,121.9353032244205,100.0,0.0,0.0,123.73084259033203,123.73084259033203
2023-01-04,JPM,125.7331048617924,127.2956265697408,125.34478460526871,126.09368896484375,11687600.0,0.02613732753655995,127.15872767730806,123.86367222503569,100.0,0.0,100.0,125.51119995117188,125.51119995117188
2023-01-04,KO,57.30785395624202,57.47120203148894,56.72705887659123,57.09912872314453,13387900.0,-0.0006106572273338884,57.151229529447676,57.07424578183162,0.0,0.0,0.0,57.11273765563965,57.11273765563965
2023-01-04,MSFT,226.3394946084548,226.9144019342719,220.18113479471134,223.24082946777344,50623400.0,-0.22911516825357126,242.78875990690432,213.90488938508787,0.0,0.0,100.0,228.3468246459961,228.3468246459961
2023-01-04,XOM,93.90201939580251,96.01660734078465,93.8661781111048,95.71195983886719,18058400.0,0.006231699234405141,95.96588790093807,95.18027603949162,100.0,0.0,100.0,95.57308197021484,95.57308197021484
2023-01-05,AAPL,125.12350481122068,125.75340309203497,122.79091532129203,123.04680633544922,80962700.0,-0.004601481575917887,124.99810805082137,122.00755295992082,48.202429175677565,0.0,100.0,123.5028305053711,123.5028305053711
2023-01-05,JPM,126.35447592919405,126.40104904749836,124.52891486135545,126.06574249267578,8381300.0,0.03243752476736006,127.02540710206635,124.36668782794668,97.57848814276717,0.0,1.4645798718068572,125.69604746500652,125.69604746500652
2023-01-05,KO,56.80872893624504,56.990227169564754,56.33683837612101,56.445735931396484,9814700.0,-0.021039769890258242,57.661071777494804,56.11973571762238,0.0,0.0,100.0,56.890403747558594,56.890403747558594
2023-01-05,MSFT,221.3894202164649,221.73047501122883,216.08854432449274,216.62448120117188,39585600.0,-0.49711076454661907,241.39527634001666,207.4834773220927,0.0,0.0,100.0,224.4393768310547,224.4393768310547
2023-01-05,XOM,95.28187579926502,98.51647841010062,95.25499654346731,97.85343170166016,15946600.0,0.0743473360613649,98.98092866576205,93.68546842896451,100.0,0.0,59.62609858529396,96.33319854736328,96.33319854736328
2023-01-06,AAPL,124.02119442530204,128.2336347517989,122.91886860960567,127.57421112060547,87754700.0,0.14392292052765754,128.7711709329948,120.27018038536455,81.7578000342456,0.0,78.13385578634639,124.52067565917969,124.52067565917969
2023-01-06,JPM,126.79223148923117,128.88789380185912,125.26472708317824,128.4780731201172,10029100.0,0.12160429509189896,129.37782213679282,123.40528562077554,99.23426064187547,0.0,61.411743372731706,126.39155387878418,126.39155387878418
2023-01-06,KO,57.0900470945793,57.77973617538314,56.790577974556115,57.53471755981445,9990000.0,0.009501567450932669,57.9520892719403,56.150875129304815,62.369072933227166,0.0,35.33796398286546,57.05148220062256,57.05148220062256
2023-01-06,MSFT,217.2968261609176,219.98623444144232,213.74018002094996,219.17745971679688,43613600.0,-0.514643175760682,237.93457356078451,208.31322154419595,13.806362040701975,0.0,100.0,223.12389755249023,223.12389755249023
2023-01-06,XOM,98.63296843355621,100.34434720598856,98.26560035952092,99.03617095947266,16348100.0,0.146207948977505,100.47011337595914,93.5477699248221,100.0,0.0,74.82460392973618,97.00894165039062,97.00894165039062
2023-01-09,AAPL,128.41082770495254,131.30442886555136,127.83997988936822,128.0958709716797,70790800.0,0.24235696533271778,130.11174279507725,120.35968664828212,83.06543923429277,0.0,89.78585192171461,125.23571472167968,125.23571472167968
2023-01-09,JPM,129.0927823246919,129.35357467588383,127.49076404616024,127.9471435546875,8482300.0,0.14636919854777375,129.63937676567755,123.76596686225211,85.86643336845894,0.0,65.48001421293668,126.70267181396484,126.70267181396484
2023-01-09,KO,57.443975376128655,57.825122041169436,56.79058653315909,56.81781005859375,9442600.0,-0.0026301579591461177,57.812214154581355,56.197281389852236,43.775398414476285,0.0,37.839412375566496,57.004747772216795,57.004747772216795
2023-01-09,MSFT,220.65859925614794,225.3261046224166,220.61962878753835,221.31146240234375,27369800.0,-0.4284186133837977,235.6898686596785,209.8329523852434,22.999123384653537,0.0,50.33530460718201,222.76141052246095,222.76141052246095
2023-01-09,XOM,100.03073917590788,100.03073917590788,96.59901294606159,97.19038391113281,17964600.0,0.10872977122218686,100.04708275058708,94.04337745449105,64.78234099548696,0.0,29.015765359732644,97.04523010253907,97.04523010253907
2023-01-10,AAPL,128.20410381019116,129.18832083166095,126.09787998496417,128.66668701171875,63896200.0,0.3213820983645377,130.99100113607884,120.62408573729356,84.33640587728493,0.0,44.573077006104924,125.8075434366862,125.8075434366862
2023-01-10,JPM,128.33835358544826,129.20456806371087,127.89128293879766,129.09280395507812,9048700.0,0.20749411924259675,130.37331636138683,123.8287379802473,89.13392297586559,0.0,65.48001421293668,127.10102717081706,127.10102717081706
2023-01-10,KO,56.808726627741734,56.92670099387412,56.19163473660564,56.38220977783203,10134600.0,-0.028500055019357262,57.78415088364636,56.01783199599231,36.86693781043573,0.0,9.798335973614963,56.900991439819336,56.900991439819336
2023-01-10,MSFT,221.9351032710945,225.3943160955878,221.51610752466433,222.9972381591797,27033900.0,-0.29644835389217405,234.36588267142778,211.23554758573366,29.172212530970242,0.0,49.843598094621335,222.80071512858072,222.80071512858072
2023-01-10,XOM,98.37310737903843,98.85695442890614,96.77820793837758,98.64190673828125,15104600.0,0.14622451150373195,100.2960505061641,94.32663524416144,72.62523599283914,0.0,29.015765359732637,97.31134287516277,97.31134287516277
2023-01-11,AAPL,129.1784814447806,131.4028064616691,128.40095662151043,131.3831329345703,69458900.0,0.48958556912711515,132.94079892264415,120.26731352155228,88.56236009215654,0.0,57.79476067655117,126.60405622209821,126.60405622209821
